Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area_sort,,,,,,,,,,,,,,
2,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,418,102,126,73,9198,61,53,3,30,62.39390996,,1,1,2108,,,,,,,,,,,,,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,1,965,226,84,40,3360,128,406,24,19,400.7305828,,1,1,2116,,,,,,,,,,,,,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,926,150,106,124,13144,44,63,0,0,0,,0,1,2128,,,1034,178,42,67,2814,38,531,57,9,522.345671,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,404,236,125,70,8750,76,54,228,469,441.9604055,,1,1,2142,,,418,102,126,73,9198,61,53,3,30,62.39390996,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,58,41,86,115,9890,42,48,0,0,0,,0,1,2144,,,965,226,84,40,3360,128,406,24,19,400.7305828,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,5,549,14,114,108,12312,96,61,258,339,321.7576728,,1,1,2160,,,926,150,106,124,13144,44,63,0,0,0,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,6,111,119,97,46,4462,64,33,0,0,0,,0,1,2162,,,404,236,125,70,8750,76,54,228,469,441.9604055,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,7,191,95,60,101,6060,21,58,0,0,0,,0,1,2162,,,58,41,86,115,9890,42,48,0,0,0,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,8,972,330,81,43,3483,76,10,222,341,361.7692635,,1,1,2162,,,549,14,114,108,12312,96,61,258,339,321.7576728,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,9,630,323,72,44,3168,75,13,261,347,382.2983128,,1,1,2176,,,111,119,97,46,4462,64,33,0,0,0,,
