Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area
11,Smart Trackpad,2D Task,2D Target Selection Task,9,749,114,43,99,4257,19,24,0,0,0,,0,1,8325
11,Smart Trackpad,2D Task,2D Target Selection Task,10,122,67,36,118,4248,19,31,331,311,419.2183202,,1,1,8360
11,Smart Trackpad,2D Task,2D Target Selection Task,11,562,249,53,64,3392,19,2,0,0,0,,0,1,8428
11,Smart Trackpad,2D Task,2D Target Selection Task,12,990,118,34,95,3230,21,17,80,290,279.3027032,,1,1,8446
12,Smart Trackball,2D Task,2D Target Selection Task,1,1037,85,65,35,2275,48,15,0,0,0,,0,1,8448
12,Smart Trackball,2D Task,2D Target Selection Task,4,169,6,57,93,5301,67,59,0,0,0,,0,1,8487
12,Smart Trackball,2D Task,2D Target Selection Task,7,552,323,46,119,5474,108,345,0,0,0,,0,1,8526
12,Smart Trackball,2D Task,2D Target Selection Task,8,724,276,66,75,4950,22,16,195,391,412.9818398,,1,1,8580
12,Smart Trackball,2D Task,2D Target Selection Task,9,582,163,47,124,5828,21,98,0,0,0,,0,1,8600
12,Smart Trackball,2D Task,2D Target Selection Task,10,366,105,34,98,3332,15,79,0,0,0,,0,1,8611
12,Smart Trackball,2D Task,2D Target Selection Task,12,998,215,58,56,3248,18,47,0,0,0,,0,1,8658
12,Smart Trackball,2D Task,2D Target Selection Task,13,477,79,42,107,4494,4,57,0,0,0,,0,1,8670
12,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,342,152,30,58,1740,36,51,0,0,0,,0,1,8736
12,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,534,106,62,94,5828,578,649,0,0,0,,0,1,8750
12,Smart Rotate Pointer,2D Task,2D Target Selection Task,1,912,23,72,58,4176,19,9,0,0,0,,0,1,8750
12,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,658,36,77,59,4543,56,57,0,0,0,,0,1,8750
12,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,266,159,117,39,4563,7,32,0,0,0,,0,1,8836
12,Smart Trackpad,2D Task,2D Target Selection Task,1,412,92,32,79,2528,24,38,0,0,0,,0,1,8836
12,Smart Trackpad,2D Task,2D Target Selection Task,2,353,279,33,105,3465,27,67,0,0,0,,0,1,8848
12,Smart Trackpad,2D Task,2D Target Selection Task,4,55,283,37,33,1221,9,28,0,0,0,,0,1,8875
12,Smart Trackpad,2D Task,2D Target Selection Task,6,324,201,33,35,1155,32,18,0,0,0,,0,1,8900
12,Smart Trackpad,2D Task,2D Target Selection Task,10,964,350,95,63,5985,53,57,159,507,462.3159093,,1,1,8961
12,Smart Trackpad,2D Task,2D Target Selection Task,11,710,63,54,38,2052,15,7,119,148,175.2055935,,1,1,8964
12,Smart Trackpad,2D Task,2D Target Selection Task,12,2,118,78,40,3120,36,25,0,0,0,,0,1,8970
12,Smart Trackpad,2D Task,2D Target Selection Task,13,691,222,71,45,3195,66,33,0,0,0,,0,1,8991
12,Smart Trackpad,2D Task,2D Target Selection Task,15,1037,151,88,38,3344,70,21,0,0,0,,0,1,9030
12,Smart Trackpad,2D Task,2D Target Selection Task,17,742,200,31,51,1581,21,25,84,394,374.3394182,,1,1,9030
13,Smart Trackpad,2D Task,2D Target Selection Task,1,1015,160,36,92,3312,0,56,0,0,0,,0,1,9075
13,Smart Trackpad,2D Task,2D Target Selection Task,3,897,349,56,38,2128,22,26,0,0,0,,0,1,9135
13,Smart Trackpad,2D Task,2D Target Selection Task,5,438,234,34,60,2040,5,35,0,0,0,,0,1,9191
13,Smart Trackpad,2D Task,2D Target Selection Task,7,815,48,60,91,5460,25,44,0,0,0,,0,1,9204
13,Smart Trackpad,2D Task,2D Target Selection Task,9,889,288,38,69,2622,9,26,0,0,0,,0,1,9216
13,Smart Trackpad,2D Task,2D Target Selection Task,11,225,205,52,33,1716,35,16,98,268,259.7556544,,1,1,9282
13,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,295,233,46,108,4968,48,79,414,388,478.9958246,,1,1,9328
13,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,915,107,108,44,4752,129,83,0,0,0,,0,1,9350
13,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,947,142,54,113,6102,34,46,1440,330,1434.39604,,1,1,9393
